ASL-LEX_add_translation
ASL-LEX_add_translation,,,
Entry,Gloss,Definition,Comment
L_cracker,cracker,"biscuit, cracker, crisp, food, wafer",
L_cracker_2,cracker,cracker,
L_cranky,cranky,"angry, crabby, cranky, crotchety, grouch, grouchy, grumpy",
L_crash,crash,crash,
L_crash_plane,crash_plane,crash_plane,
L_crawl,crawl,"crawl, crawling, knees, legs",
L_crawl_2,crawl,crawl,
L_crazy,crazy,"crazy, craziness, insane, mad, nuts",
L_cream,cream,cream,there is sign for icecream
L_cream_2,cream,cream,
L_create,create,"create, make, MAKEstr, manufacture, produce",
L_credit_card,credit_card,"charge card, credit card, debit card, money",
L_crewcut,crewcut,crewcut,
L_criticize,criticize,"cancel, correct, critical, criticize, critique, discriminate, discrimination, grade",
L_crocodile,crocodile,"alligator, animal, crocodile",
L_cross,cross,"cross, crucifix",
L_cross_2,cross,"cross, from one side to the other of a road, street, etc",ref_handspeak
L_cross_3,cross,"cross, crucifix",
L_cross_heart,cross_heart,"cross-heart, promise, swear, tell the truth",
L_crown,crown,"crown, king, queen, royalty",
L_crumple,crumple,crumple,
L_cry,cry,"cry, crying, tears",more common
L_cry_2,cry,cry,
L_cry_3,cry,cry,
L_cry_4,cry,cry,
L_culture,culture,"cultural, culture",
L_cup,cup,"cup, glass, place cup",
L_curious,curious,"curiosity, curious, interested, wonder",
L_curl,curl,curl,no signs represent curl as shape one's body into a curl
L_curl_2,curl,curl,
L_curly_hair,curly_hair,"curly, curly hair",
L_curtain,curtain,"curtain, curtains, drapes, screen",
L_curtsey_1,curtsey,curtsey,
L_curtsey_2,curtsey,curtsey,
L_cut_1,cut,"clip, cut, scissors, snip, trim","no signs represent cut as cut with knife or cut into slices, see signbank"
L_cut_2,cut,"clip, cut, scissors, snip, trim",
L_cute_1,cute,"cute, sugar, sweet, candy",
L_cute_2,cute,"cute, sugar, sweet, candy",
L_damn,damn,damn,
L_dance,dance,"dance, dancing",
L_dancer,dancer,"dance, dancer",
L_danger,danger,"danger, dangerous, threat, threatening",
L_dark_1,dark,"dark, gloomy, shadowy",this may relate more to the color
L_dark_2,dark,"dark, dusk, having very little or no light",
L_dart,dart,"arrow, dart, darts, game, sport, throw",
L_date,date,"date, dating",
L_daughter,daughter,"baby, daughter, girl, offspring",
L_day,day,"day, daytime",
L_deaf_1,deaf,deaf,more common
L_deaf_2,deaf,deaf,"old version, nor recommended, ref_lifeprint"
L_deaf_school,deaf_school,"deaf, deaf school, institute, school, school for the deaf",
L_deal_cards,deal_cards,"deal cards, distribute, to hand out, to pass out",
L_death,death,"dead, death, die, expire, pass away",
L_decide_1,decide,"decide, decision, determine",
L_decide_2,decide,"decide, decision, definite, definitely, definitive, determine",ref_signbank
L_decline,decline,decline,
L_decorate_1,decorate,"adorn, decorate, decorations, to furnish or adorn with something ornamental or becoming, embellish","ref_handspeak, more common"
L_decorate_2,decorate,decorate,not found
L_dedicate_1,dedicate,"absolutely, commit, confirm, dedicate, dedication, guarantee, promise",
L_dedicate_2,dedicate,dedicate,
L_deep,deep,"deep, depth, detail, in depth",
L_deer,deer,deer,
L_defeat,defeat,defeat,
L_deflate,deflate,"belittle, deflate, feel insecure, take air out",
L_degree,degree,"degree, diploma, education, major",
L_delegate,delegate,delegate,
L_deliberate,deliberate,"argue, bicker, conversation, debate, deliberate, discuss, discussion, quibble, squabble",
L_delicious,delicious,"delicious, good food, tasty, yum, yummy",
L_delinquent,delinquent,"absent, do not include, ignore, omit, skip, to ditch",
L_demand,demand,"demand, necessary, needed, require, requirement, requisite",
L_demote,demote,"and next, and then, change of topic, following segment, in contrast to, in other words, moving on, next topic, onto-next, onto the next",
L_dent,dent,"bent, cave in, crooked, dent",
L_dentist,dentist,"dental, dentist, teeth",more common
L_dentist_2,dentist,dentist,
L_deny,deny,"denial, deny, not, refuse",
L_deodorant,deodorant,"antiperspirant, deodorant, DEODORANTstr",
L_department,department,department,
L_depend_on,depend_on,"based on, depend, depend on, dependent on, reliant, rely",
L_depress,depress,"depressed, feeling low, sad",
L_depth,depth,"deep, depth, detail, in depth",
L_desert,desert,"arid, desert, drought, dry, dry land",
L_design,design,"design, draw",
L_dessert,dessert,"after dinner, dessert, food, snack, sweets, treat",
L_destroy,destroy,"damage, demolish, destroy, destruction, ruin, wreck",
L_develop_1,develop,"develop, development, grow, increase, upward trend",
L_develop_2,develop,"develop, development, grow, increase",
L_devil,devil,"demon, devil, evil, mischievous",
L_devour,devour,devour,
L_diamond,diamond,"diamond, ring",
L_diaper,diaper,diaper,
L_dice,dice,"bet, dice, gamble, gambling, roll dice",
L_dictionary,dictionary,dictionary,
L_die,die,"dead, death, die, expire, pass away",
L_different,different,"assortment, contrast, differ, different, differing, distinct",
L_different_situation,different_situation,different_situation,
L_dig,dig,dig,
L_dig_up,dig_up,dig_up,
L_dilemma,dilemma,"dilemma, in a bind, in a jam, in a pickle, issue, problem",
L_dining_room,dining_room,dining_room,
L_dinner_1,dinner,"dinner, eat, eat night, evening, supper",
L_dinner_2,dinner,"dinner, supper",
L_dinosaur,dinosaur,"animal, dinosaur, prehistoric, reptile",
L_dinosaur_2,dinosaur,dinosaur,
L_dip_1,dip,dip,
L_dip_2,dip,dip,
L_dip_3,dip,dip,
L_director,director,"direct, director, manager",
L_dirty,dirty,"dirt, dirty, filth, filthy, messy, pollute, pollution",
L_disagreement,disagreement,"disagree, disagreement, think differently",
L_disappear,disappear,"disappear, gone, missing, vanish",
L_disappoint,disappoint,"bitter, disappoint, sour, taste funny, taste okay",
L_disconnect,disconnect,"disconnect, let go, release",
L_discuss,discuss,"argue, argument, debate, discuss, discussion, talk",
L_dislike,dislike,dislike,
L_disney,disney,"Disney, Walt Disney",
L_dispatch,dispatch,"deliver, dispatch, forward, send, to mail",
L_disrupt,disrupt,"chaos, chaotic, disrupt, hectic, mess, messed up, mess up, messy, thrown off",
L_dissect,dissect,"cut, dissect, incision, medical, operate, operation, surgery",
L_dissolve,dissolve,"dissolve, fade, go away, melt, resolve, solution, solve",
L_distracted,distracted,distracted,
L_dive_1,dive,"dive, diving, jump, leap",
L_divide,divide,"divide, separate, split",
L_divorce,divorce,"divorce, divorced, separated",
L_dizzy,dizzy,"dizzy, faint, light-headed, vertigo",
L_do_do,do_do,"do, interrogative, pronoun, what, what do, WHATbo, WHAT-DO",
L_doctor,doctor,"doctor, M.D., physician, DOCTORb",
L_doctor_2,doctor,"doctor, M.D., physician, DOCTORd",
L_document,document,"attribute, cite, citation, copy, document, documentation, jot down, note, put on paper, record, write down",
L_doesnt_matter,doesnt_matter,doesnt_matter,
L_dog,dog,"canine, dog, puppy",
L_dog_2,dog,"canine, dog, puppy",
L_dog_3,dog,"canine, dog, puppy",
L_dog_4,dog,"canine, dog, puppy",
L_doll,doll,"action figure, doll, dolly, pretend, toy",
L_dolphin,dolphin,"aquatic animal, DOLPHINr, dolphin, mammal",
L_dolphin_2,dolphin,"aquatic animal, dolphin, DOLPHINd, mammal",
L_dolphin_3,dolphin,"aquatic animal, DOLPHINr, dolphin, mammal",
L_dominant,dominant,"dominance, dominant, strength, strong",
L_donkey,donkey,"animal, donkey",
L_dont_care,dont_care,"do not mind, don't care, not care",
L_dont_feel_like,dont_feel_like,"bored, boring, don't feel like, don't want to, dull, sick of, waste of time",
L_dont_know,dont_know,"do not know, don't know, dunno, not know",
L_dont_like,dont_like,"dislike, do not like, don't like",
L_dont_mind,dont_mind,"do you mind?, don't care, don't mind",
L_dont_need,dont_need,"don't need, not necessary, not need, unnecessary, unneeded",
L_dont_want,dont_want,don't want,
L_donut,donut,"donut, DONUTneut, dounut, doughnut, food, EAT-MORNING,breakfast",
L_door,door,"door, opening",
L_dormitory,dormitory,"dorm, dormitory",
L_double,double,"bi-, double, twice",
L_doubt,doubt,"disbelief, doubt, doubtful, skeptical",
L_down,down,"down, downstairs",
L_downhill,downhill,"decline, decrease, diminish, downhill, lose quality, not improve",
L_download,download,"download, retrieve file",
L_downsize_1,downsize,"decrease, downsize, eliminate, reduce, shrink",
L_downsize_2,downsize,"decrease, downsize, eliminate, reduce, shrink",
L_drag_1,drag,drag,
L_drag_2,drag,drag,same sign
L_dragon,dragon,dragon,
L_draw,draw,"art, draw, drawing, illustration",
L_drawer,drawer,"drawer, drawers, dresser",
L_dreadlocks,dreadlocks,dreadlocks,
L_dream,dream,"daydream, daze, dream, dreaming",
L_dress,dress,"attire, clothes, clothing, costume, dress, garb, garment, gown, getup, outfit",
L_dress_up,dress_up,"clothes, clothing, costume, costumes, outfit, outfits, dress up, get dressed",
L_dresser,dresser,"chifforobe, dresser, shelf, wardrobe",
L_dribble,dribble,dribble,
L_drill,drill,"drill, electric drill, tool",
L_drink,drink,"beverage, drink",
L_drink_2,drink,"alcohol, beverage, drink",
L_drip,drip,drip,
L_drive,drive,"car, cruise, drive, driving",
L_drop,drop,"drop, let go of, release, unhand",
L_drown,drown,"drown, DROWNs",
L_drown_2,drown,drown,
L_drown_3,drown,"drown, DROWNth",
L_drown_4,drown,drown,
L_drown_5,drown,drown,
L_drug,drug,drug,
L_drum,drum,"drum, drumming, drums",
L_drunk,drunk,"alcohol, alcoholic, drink, drunk, inebriated, intoxicated",
L_dry,dry,"arid, desert, drought, dry, dehydrated",
L_dryer,dryer,"dryer, laundry machine",
L_duck,duck,"animal, bird, duck",
L_duck_2,duck,duck,
L_due,due,"afford, deadline, debt, due, due date, for, owe, scheduled",
L_dumb,dumb,"dumb, stupid",
L_duty,duty,"chore, duty, job, responsibility, task",
L_dye,dye,"dye, hair dye, marinate, tie dye, to stain, tye dye",
L_each,each,"apiece, each, every",
L_each_other,each_other,"associate with, each other, interact, interaction, one another",
L_eagle,eagle,eagle,
L_eagle_2,eagle,eagle,
L_ear,ear,"ear, EARx",
L_early,early,"early, time",
L_earmuffs,earmuffs,"earphones, headphones",
L_earn,earn,"collect, deserve, earn, gather",
L_earring,earring,"earring, ears pierced, jewelry, pierce ears",
L_ears_up,ears_up,ears_up,
L_earth,earth,"earth, geography, globe, planet",
L_earthquake,earthquake,earthquake,
L_easel,easel,"art, draw, drawing, illustration",
L_east,east,"direction, east",
L_easter,easter,"holiday, Easter, EASTERrot",
L_easy,easy,"convenience, convenient, easy, simple",
L_easy_to_do,easy_to_do,"convenience, convenient, easy, simple",
L_eat_1,eat,"consume, food, eat",
L_eat_2,eat,"consume, food, eat",
L_eclipse,eclipse,eclipse,
L_edge,edge,edge,
L_edit_1,edit,edit,
L_edit_2,edit,edit,
L_effect,effect,"advice, advise, affect, counsel, counseling, effect, influence",
L_egg,egg,"egg, food",
L_egg_beater,egg_beater,egg_beater,
L_ego,ego,"ego, identity, self-worth",
L_egypt,egypt,"Egypt, Egyptian",
L_eight,eight,"8, eight, number",
L_either,either,"either, either one, either or, one or the other",
L_electrician,electrician,electrician,
L_electrocute,electrocute,electrocute,
L_elegance,elegance,"courteous, elegant, fancy, formal, living room, official, polite, posh, sophisticated, well to do",
L_elementary_school,elementary_school,"elementary, elementary school",
L_elephant,elephant,"animal, elephant",
L_elevator_1,elevator,elevator,
L_elevator_2,elevator,"elevator, up and down",
L_elevator_3,elevator,"elevator, up and down",
L_eleven,eleven,"11, eleven, number",
L_email,email,email,
L_embarrass,embarrass,"embarrass, embarrassed, humilated, mortified, shy",
L_emotion,emotion,"emotion, emotional, feelings",
L_emperor,emperor,"embassy, emperor, king, royalty",
L_emphasis,emphasis,emphasis,
L_empty_1,empty,"bare, blank, empty, naked, containing nothing, not filled or occupied",more common
L_empty_2,empty,empty,
L_end,end,"complete, end, end of, final, finish, over, terminate",
L_enemy,enemy,enemy,
L_energy,energy,"energetic, energy",
L_engagement,engagement,"engage, engaged, engagement",
L_engine_start,engine_start,engine_start,
L_engineer,engineer,"engineer, engineering, measure",
L_english,english,"country, England, English",
L_enjoy,enjoy,"amuse, appreciate, enjoy, enjoyment, please, pleasing, pleasure",
L_enough,enough,"enough, plenty, sufficient",
L_enter,enter,"enter, entrance, into, go in, go inside, under",
L_envelope,envelope,"card, envelope, letter, mail",
L_envelope_2,envelope,envelope,
L_envelope_3,envelope,envelope,
L_envelope_4,envelope,envelope,
L_envelope_5,envelope,envelope,
L_environment,environment,"environment, environmental",
L_equal,equal,"equal, even, fair, peer",
L_erase,erase,"clean, erase, remove, scrub, wipe, rub out or remove (writing or marks) with an eraser",ref_handspeak
L_erase_2,erase,"erase, remove (something written) by rubbing, wiping, or scraping on the whiteboard or blackboard",ref_handspeak
L_erase_3,erase,"erase, remove (something written) by rubbing, wiping, or scraping on the whiteboard or blackboard",
L_erase_4,erase,"erase, remove (something written) by rubbing, wiping, or scraping on the whiteboard or blackboard",
L_erase_5,erase,erase,
L_eraser,eraser,"eraser, rubber",
L_erupt_1,erupt,erupt,
L_erupt_2,erupt,erupt,
L_escalate,escalate,"develop, escalate, go up, improve, increase, up, uphill",
L_escalator,escalator,escalator,
L_escape,escape,"flee, escape, evade, run away, take off, get out, leave",
L_europe,europe,"Europe, European",
L_evaluate,evaluate,"assess, evaluate, evaluation, experiment",
L_even_1,even,even,
L_evening,evening,"night, evening",
L_event,event,"event, what's new, what's up",
L_every_night,every_night,"at night, daily, each evening, each night, every evening, every night, night, nightly, regularly",
L_every_year,every_year,"annual, annually, every year, yearly",
L_everyday,everyday,everyday,
L_everything,everything,"all, anything, everything",
L_evidence,evidence,evidence,
L_example,example,"demonstrate, demonstration, example, model, represent, representation",
L_excited,excited,"anticipate, anticipation, excited, excitement",
L_excuse,excuse,"dismiss, excuse, excuse me, forgive, forgiveness",
L_exercise,exercise,"exercise, EXERCISEsup, lift weights, work out",
L_expect,expect,expect,
L_expensive,expensive,"costly, expensive, high-priced, pricey",
L_experience,experience,experience,
L_experienced,experienced,experience,
L_experiment,experiment,"evaluate, evaluation, experiment, experimental, science",
L_expert,expert,expert,
L_explanation,explanation,"define, definition, describe, description, detail, direct, explain, explanation",
L_explode,explode,"bomb, explode, explosion",
L_express,express,"express, expression, poem, poetry",
L_eye_turn,eye_turn,"distract, distracting, distraction, eye-turn, eyes, look over there",
L_eyeglasses,eyeglasses,"eyeglasses, glasses, goggles",
L_eyes,eyes,"body part, eyes",
L_eyes_awake,eyes_awake,eyes_awake,
L_face,face,"appear, appearance, face, head, look",
L_faculty,faculty,"board, committee, council, employee, faculty, professor, staff, teachers, workforce",
L_fade,fade,"dissolve, fade, go away, melt, resolve, solution, solve",
L_fail,fail,"fail, unsuccessful",
L_faint,faint,"blackout, faint, pass out",
L_fair,fair,"equal, even, fair, peer",
L_fake,fake,"artificial, fake, false, imaginary, not real, pretend",
L_fall_1,fall,"autumn, fall, season",
L_fall_2,fall,"fall, fall down, fall off, fall over, fell",
L_falling_asleep,falling_asleep,"crash, fall asleep, go to sleep, fall-asleep",
L_family,family,family,
L_famous,famous,"celebrity, fame, famous, well-known",
L_fan,fan,fan,
L_fantasy,fantasy,"creative, fantasize, fantasy, fantastical, imagine, pretend",
L_far,far,"distance, distant, far, far away",
L_farm,farm,"agriculture, farm, farming, pastoral, rural",
L_fascinated,fascinated,"absorbed, attracted, captivated, engrossed, enthralled, fascinated, fascinating, focused, intrigued, obsessed",
L_fashion,fashion,"fashion, fashionable, old-fashioned, style, stylish",
L_fast,fast,"fast, FASTonexth, quick, rapid, suddenly",
L_fat,fat,"bulky, fat, obese, overweight, weight",
L_father,father,"dad, daddy, father, papa",
L_faucet,faucet,"faucet, sink, water tap",
L_fault,fault,"blame, burden, fault, responsibility",
L_favorite,favorite,"favor, favorite, flavor, kind, prefer, preference, taste, type, rather",
L_february,february,february,
L_fed_up,fed_up,fed_up,
L_feed_1,feed,"feed, food, nurture, provide, to give food to",
L_feed_2,feed,feed,not found
L_feedback,feedback,"advice, feedback, suggestion",
L_feel,feel,"feel, feeling, sense",
L_fence_1,fence,"barrier, fence, gate",
L_fence_2,fence,"barrier, fence, gate",
L_fencing,fencing,"fencing, the sport of fighting with swords, especially foils or sabers, according to a set of rules, in order to score points against an opponent",ref_handspeak
L_few,few,"few, several",
L_fiance,fiance,fiance,
L_fifth,fifth,"fifth, fifth in order, fifth place, five, ordinal number",
L_fight,fight,"argue, attack, fight, exchange blows, hit each other",
L_figure,figure,"calculate, figure, figure out, math, multiplication",
L_file_2,file,file,more common
L_file_3,file,file,
L_file_4,file,file,
L_fill_out,fill_out,"complete, fill out, jot down, paper, transcribe, transcription",
L_film,film,"camera, film, filming, recording, video camera",
L_filter,filter,filter,
L_finally,finally,"accomplish, at last, finally, pah",
L_finance,finance,finance,
L_find,find,"discover, find, found, pick, select",
L_fine_1,fine,"all right, fine, okay, no problem",no signs for fine penalty
L_fine_2,fine,"all right, fine, okay, no problem",
L_finger,finger,finger,
L_fingers_crossed,fingers_crossed,"cross your fingers, fingers crossed, gesture, hope so, I hope, let's see, luck",
L_fingerspell,fingerspell,"fingerspell, fingerspelling, spell out, to spell",
L_fingerspelling,fingerspelling,"alphabet, fingerspell, fingerspelling",
L_finish,finish,"already, complete, completed, done, finish, over, that's all, that's enough",
L_fins,fins,fins,
L_fire,fire,"boil, burn, fire, flame",
L_fired,fired,"fired, lose job, terminated, to fire",
L_fireman,fireman,"firefighter, fireman",
L_fireman_2,fireman,"firefighter, fireman",
L_firetruck,firetruck,firetruck,
L_first,first,"first, first in order, first place, number, one",
L_fish,fish,fish,
L_fishing,fishing,"fish, fishing, to-fish, to fish, fishing rod, catch fish",
L_fishing_2,fishing,fishing,
L_fit,fit,"compatible, correspond, fit, go with, match",
L_fix,fix,"fix, maintenance, mend, repair, restore",
L_flag,flag,"banner, flag",
L_flag_2,flag,"banner, flag",
L_flashlight,flashlight,"flashlight, light, torch",
L_flashlight_1,flashlight,"flashlight, light, torch",
L_flashlight_3,flashlight,flashlight,
L_flashlight_4,flashlight,flashlight,
L_flip,flip,"change, flip, reverse, rotate, switch",
L_flip_switch,flip_switch,flip_switch,
L_flipflops,flipflops,flipflops,
L_float_1,float,float,
L_float_2,float,float,
L_float_3,float,float,
L_floor,floor,floor,
L_flower,flower,"flower, plant, vegetation",
L_flute,flute,"flute, instrument, music, play an instrument",
L_fly,fly,"flap, fly, wings",
L_focus,focus,"attention, concentrate, focus, pay attention",
L_fold,fold,"clothes, fold, folding, laundry",
L_fold_2,fold,fold,
L_follow_1,follow,"according to, chase, follow, pursue",more common
L_follow_2,follow,"follow, mentor, pursue",
L_follow_3,follow,follow,
L_follow_4,follow,follow,
L_fond,fond,"favorite, fond, like, prefer",
L_fool,fool,"con, deceive, fool, play trick on, trick",
L_football,football,"football, sport",
L_for,for,"because, for, for-for, reason, what for, why",
L_forbid,forbid,"against the law, ban, banned, forbid, forbidden, illegal",
L_foreigner_1,foreigner,"foreigner, FOREIGNERb",
L_foreigner_2,foreigner,"foreigner, FOREIGNERf",
L_forest,forest,"forest, tree, woods",
L_forever,forever,"a long time, eternal, forever, infinite, infinity, time",
L_forever_2,forever,forever,
L_forfeit,forfeit,"fail, flunk, forfeit, get an F, lose",
L_forgetful,forgetful,"bad memory, forget, forgetful, forgot, not remember, slipped mind",
L_fork_1,fork,"fork, utensil",
L_fork_2,fork,fork,
L_fork_3,fork,"fork, utensil",
L_fork_4,fork,"fork, utensil",
L_form,form,"form, frame",
L_former,former,"former, in the past, long ago, past, previously, prior, used to, years ago",
L_foul,foul,"basketball, foul, free throw, shoot, shot",
L_four,four,"4, four, number",
L_fourth,fourth,"four, fourth, fourth in order, fourth place, ordinal number",
L_fox,fox,"animal, fox",
L_fraction,fraction,fraction,
L_frame,frame,"frame, a border for enclosing something","ref_handspeak, ref_youtube"
L_france,france,"country, France, French",
L_fraud,fraud,"fraud, liar, thief",
L_freak_out,freak_out,freak_out,
L_freckles,freckles,"acne, freckles, moles",
L_free,free,free,
L_freedom,freedom,"rescue, safe, safety, salvage, save",
L_freeway,freeway,"cars, car traffic, crowd, foot traffic, pathway, street, traffic",
L_freeze,freeze,"freeze, frozen, ice",
L_french,french,french,
L_frenchfries,frenchfries,"FF, french fries, fries",
L_friday,friday,"day of the week, Friday",
L_friend,friend,"friend, relationship",
L_friendly,friendly,"be cheerful, be happy, cheer up, cheery, cheerful, friendly, good mood, laugh, pleasant",
L_friends_no_more_1,friends_no_more,friends_no_more,
L_fringe,fringe,fringe,
L_frisk,frisk,frisk,
L_frog,frog,"frog, toad",
L_from,from,from,
L_from_then_on,from_then_on,"after, and continuing from there, from here on out, from now on, from that point, from then on, from there, point, the rest, the rest of the time",
L_front,front,"anterior, front, in front of",
L_frown_1,frown,"anger, angry, cranky, enraged, furious, grouchy, grumpy, infuriated, mad",
L_frown_2,frown,"face, frown, pout, sad",
L_fruit,fruit,"food, fruit",
L_frustrate,frustrate,"frustrated, frustrating",
L_fry ,fry ,"cook, cooking, chef",
L_full,full,"fed up, filled up, full, not hungry, satiated, stuffed",
L_fun,fun,fun,
L_function,function,"function, purpose",
L_funny,funny,"amusing, comedy, comic, comical, funny, hilarious, humor, humorous",
L_furniture,furniture,"couch, furniture",
L_future,future,"eventually, future, someday, will",
L_fuzzy,fuzzy,fuzzy,
L_gallaudet,gallaudet,"Gallaudet, GALLAUDETrep, university",
L_gamble,gamble,gamble,
L_game,game,"challenge, competition, game, match, meet",
L_garage,garage,garage,
L_garlic,garlic,garlic,
L_gas,gas,"fill up, gas, gasoline, oil, petrol",
L_gate,gate,gate,
L_gate_close,gate_close,gate_close,
L_gay,gay,gay,
L_generation,generation,"ancestry, generation, genetic, heritage, legacy, lineage, GENERATIONb",
L_germany,germany,"country, German, Germany",
L_gesture,gesture,"gesticulate, gesture, sign",
L_get,get,"get, grab, inherit, receive, take",
L_get_in_bed,get_in_bed,"get in bed, go to bed, lay, lay down, sleep, sleeping",
L_get_information_out_of,get_information_out_of,get_information_out_of,
L_get_off,get_off,"alight, exit, get off, get out, hop off",
L_get_through,get_through,get_through,
L_get_together,get_together,"assemble, combine, come together, gather, get together, get-together, group",
L_ghost,ghost,"ghost, soul, spirit, spiritual",
L_gift,gift,"award, contribute, contribution, donate, donation, gift, gift box, give, offering, present",
L_giraffe,giraffe,"animal, giraffe",
L_girl,girl,"female, girl",
L_give,give,"give, give to, ",
L_give_up,give_up,"give up, relinquish",
L_glass_1,glass,"cup, glass, place cup",
L_glass_2,glass,glass,
L_glass_3,glass,"glass, metal, teeth, porcelain, cement",
L_glasses,glasses,"eyeglasses, glasses, goggles",
L_glove,glove,"glove, gloves, mittens",
L_gloves,gloves,"gloves, mittens",
L_gloves_2,gloves,gloves,
L_gloves_3,gloves,"glove, gloves, mittens",
L_gloves_4,gloves,gloves,
L_glow,glow,"glow, light, reflection, shine, shiny",
L_glue_1,glue,glue,
L_glue_2,glue,glue,
L_go,go,"attend, go, going, went, GOix, GOgg",
L_go_ahead,go_ahead,"get along, go ahead, let's do it, move on, proceed",
L_go_back_and_forth,go_back_and_forth,"argue, discuss, fight, go back and forth, negotiate, tension",
L_go_through,go_through,"go through, list, steps, steps to take",
L_go_to_jail,go_to_jail,go_to_jail,
L_goal,goal,"aim, goal, intention, mission, target",
L_goat,goat,"animal, goat",
L_goatee,goatee,goatee,
L_god,god,"god, gods",
L_going_through_a_hard_time,going_through_a_hard_time,going_through_a_hard_time,
L_gold,gold,"color, gold",
L_golf,golf,"ball, game, golf, golf club, hit, stick, sports",
L_gone,gone,"depleted, empty, gone, missing, pass away, used up",
L_good,good,good,
L_goody_goody,goody_goody,goody_goody,
L_goody_goody_shoe_opposite,goody_goody_shoe_opposite,goody_goody_shoe_opposite,
L_goosebumps,goosebumps,goosebumps,
L_gorilla,gorilla,"animal, ape, gorilla, monkey, orangutan",
L_gossip,gossip,"gossip, rumor, story, talk, tell story",
L_gotcha,gotcha,gotcha,
L_government,government,"capitol, government, political",
L_grab,grab,"arrest, capture, grab, hold, seize, snatch, take hold of, take over, TAKE-OVER",
L_grade,grade,grade,
L_graduate,graduate,"graduate, graduation, guarantee",
L_graduate_school,graduate_school,"graduate, graduate school, master's, school, ",
L_grammar,grammar,"grammar, grammatical",
L_grandfather,grandfather,"baba, grandfather, grandpa",
L_grandmother,grandmother,"grandma, grandmother, nana",
L_grandparents,grandparents,"family, grandparents",
L_grapes,grapes,"food, fruit, grapes",
L_grapes_2,grapes,"food, fruit, grapes",
L_grasp,grasp,grasp,
L_grass,grass,grass,
L_gray,gray,"color, gray, grey",
L_great,great,"fine, good, great, wonderful",
L_greece,greece,"country, Greece, Greek",
L_green,green,"color, green",
L_green_beans,green_beans,green_beans,
L_greet,greet,greet,
L_greet_2,greet,greet,
L_grenade,grenade,grenade,
L_grieve,grieve,"grief, grieve, heart break, heartbreak",
L_grind,grind,grind,
L_group,group,"class, group, GROUPg",
L_grow,grow,"blossom, develop, grow, growth",
L_grow_up,grow_up,"childhood, grow up, raise, upbringing",
L_guess_1,guess,"anticipate, assume, assumption, estimate, guess, miss",
L_guess_2,guess,"anticipate, assume, assumption, estimate, guess, miss",
L_guide,guide,guide,
L_guillotine_1,guillotine,guillotine,
L_guillotine_2,guillotine,guillotine,
L_guilty,guilty,"conscience, guilt, guilty",
L_guitar,guitar,"guitar, strum",
L_gullible,gullible,"credulous, gullible, swallow",
L_gum,gum,"bubblegum, chewing gum, gum",
L_gun,gun,"gun, pistol",
L_gun_2,gun,"gun, pistol",
L_gun_3,gun,gun,
L_gym,gym,gym,
L_habit,habit,"accustomed, habit, routine, typical, used to, usual",
L_had_enough,had_enough,"done, fed up, frustrated, had enough",
L_haha,haha,"haha, sarcastic, sarcasm, yeah right",
L_hair,hair,"hair, hairy",
L_hair_2,hair,hair,
L_hair_clipper,hair_clipper,hair_clipper,
L_haircut,haircut,"haircut, hair cut, barber, salon, cut hair, _敉坃魪_潴嶄粔廮敉坃魪_潴嶄惑廮敉堜髰浠墺煆_敉坃魪殇髰浠螗煆",
L_hairdresser,hairdresser,hairdresser,
L_hairdryer,hairdryer,"blow-dry, blow-dryer, hair, hairdryer, hair dryer",
L_hairdryer_2,hairdryer,hairdryer,
L_hairdryer_3,hairdryer,"blow-dry, blow-dryer, hair, hairdryer, hair dryer",
L_half,half,"amount, fraction, half, number, one, one half, two",
L_half_hour,half_hour,"clock, half (an) hour, hour, thirty minutes, time, half hour",
L_hall,hall,"hall, hallway, room",
L_halloween_1,halloween,"All Hallows' Eve, All Saints' Eve, Halloween, mask, HALLOWEENb",
L_halloween_2,halloween,"All Hallows' Eve, All Saints' Eve, Halloween, HALLOWEENv",
L_hamburger,hamburger,"burger, hamburger, sandwich",
L_hammer,hammer,"hammer, hammering, tool",
L_hamster,hamster,hamster,
L_hand_soap,hand_soap,hand_soap,
L_handcuffs,handcuffs,handcuffs,
L_hands,hands,"hand, hands, manual, body part",
L_hands_off,hands_off,"hands off, not me, not my problem, not my responsibility, unaccountable",
L_handsome_1,handsome,handsome,
L_handsome_2,handsome,handsome,more common
L_handsome_3,handsome,handsome,
L_handsome_4,handsome,handsome,
L_hang,hang,hang,
L_hang_clothes,hang_clothes,hang_clothes,
L_hanukkah,hanukkah,"candle tree, candelabra, candelabrum, Chanukah, Hanukkah, menorah",
L_happen,happen,"event, happen, incident, occur, occurrence, what happened",
L_happy,happy,"happiness, happy, joy, glad",
L_hard,hard,"difficult, firm, hard, not easy, rigid, solid, stiff",
L_hard_of_hearing,hard_of_hearing,"deaf, hard of hearing",
L_harmonica,harmonica,"harmonica, instrument, music",
L_harp,harp,"harp, instrument, music",
L_hat,hat,"cap, clothes, clothing, hat",
L_hat_2,hat,"clothes, clothing, cowboy hat, fedora, hat, hat brim",
L_hatbrim,hatbrim,"ball cap, cap, clothes, clothing, hat, hat brim",
L_hatch_1,hatch,hatch,
L_hatch_2,hatch,hatch,
L_hate,hate,hate,
L_have,have,"has, have, possess",
L_hawaii,hawaii,"handsome, Hawaii, Hawaiian, place, state",
L_he,he,he,
